Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Newtown (NSW),2012-08-15 01:00:00 +1000,0.0,14.13,12.2,
Newtown (NSW),2012-08-15 02:00:00 +1000,0.0,13.721,11.9,
Newtown (NSW),2012-08-15 03:00:00 +1000,0.0,13.111,11.7,
Newtown (NSW),2012-08-15 04:00:00 +1000,0.0,12.535,11.2,
Newtown (NSW),2012-08-15 05:00:00 +1000,0.0,12.129,11.3,
Newtown (NSW),2012-08-15 06:00:00 +1000,0.0,12.353,11.4,
Newtown (NSW),2012-08-15 07:00:00 +1000,26.908,12.033,13.1,0.05
Newtown (NSW),2012-08-15 08:00:00 +1000,109.007,12.154,14.6,0.42
Newtown (NSW),2012-08-15 09:00:00 +1000,483.869,13.751,17.3,0.97
Newtown (NSW),2012-08-15 10:00:00 +1000,680.861,18.196,18.7,1.24
Newtown (NSW),2012-08-15 11:00:00 +1000,442.305,18.99,19.6,1.93
Newtown (NSW),2012-08-15 12:00:00 +1000,446.258,18.716,19.2,2.08
Newtown (NSW),2012-08-15 13:00:00 +1000,247.669,18.499,20.1,1.15
Newtown (NSW),2012-08-15 14:00:00 +1000,267.026,18.966,20.1,1.21
Newtown (NSW),2012-08-15 15:00:00 +1000,214.086,19.221,20.8,1.34
Newtown (NSW),2012-08-15 16:00:00 +1000,93.704,19.271,20.3,0.37
Newtown (NSW),2012-08-15 17:00:00 +1000,60.776,19.375,19.3,0.29
Newtown (NSW),2012-08-15 18:00:00 +1000,0.0,18.895,19.8,0.01
Newtown (NSW),2012-08-15 19:00:00 +1000,0.0,18.458,17.9,
Newtown (NSW),2012-08-15 20:00:00 +1000,0.0,18.5,17.7,
Newtown (NSW),2012-08-15 21:00:00 +1000,0.0,17.748,15.5,
Newtown (NSW),2012-08-15 22:00:00 +1000,0.0,17.076,14.3,
Newtown (NSW),2012-08-15 23:00:00 +1000,0.0,16.397,14.0,
Newtown (NSW),2012-08-16 01:00:00 +1000,0.0,15.351,14.4,
Newtown (NSW),2012-08-16 02:00:00 +1000,0.0,15.109,14.0,
Newtown (NSW),2012-08-16 03:00:00 +1000,0.0,14.902,13.4,
Newtown (NSW),2012-08-16 04:00:00 +1000,0.0,14.625,13.2,
Newtown (NSW),2012-08-16 05:00:00 +1000,0.0,14.208,12.5,
Newtown (NSW),2012-08-16 06:00:00 +1000,0.0,13.659,11.7,
Newtown (NSW),2012-08-16 07:00:00 +1000,8.374,13.478,13.0,0.04
Newtown (NSW),2012-08-16 08:00:00 +1000,143.085,13.398,13.5,0.42
Newtown (NSW),2012-08-16 09:00:00 +1000,391.646,14.553,14.3,0.94
Newtown (NSW),2012-08-16 10:00:00 +1000,694.379,16.433,15.7,1.66
Newtown (NSW),2012-08-16 11:00:00 +1000,819.929,18.575,17.9,2.93
Newtown (NSW),2012-08-16 12:00:00 +1000,867.993,19.93,19.1,3.86
Newtown (NSW),2012-08-16 13:00:00 +1000,847.817,20.876,18.8,3.8
Newtown (NSW),2012-08-16 14:00:00 +1000,747.431,21.141,17.4,3.44
Newtown (NSW),2012-08-16 15:00:00 +1000,711.592,19.391,16.2,2.85
Newtown (NSW),2012-08-16 16:00:00 +1000,,,16.0,0.86
Newtown (NSW),2012-08-16 17:00:00 +1000,,,16.0,0.09
Newtown (NSW),2012-08-16 18:00:00 +1000,,,15.7,0.01
Newtown (NSW),2012-08-16 19:00:00 +1000,0.0,16.428,15.0,
Newtown (NSW),2012-08-16 20:00:00 +1000,0.0,16.136,14.3,
Newtown (NSW),2012-08-16 21:00:00 +1000,0.0,15.516,13.1,
Newtown (NSW),2012-08-16 22:00:00 +1000,0.0,14.744,12.5,
Newtown (NSW),2012-08-16 23:00:00 +1000,0.0,14.17,12.4,
Newtown (NSW),2012-08-17 01:00:00 +1000,0.0,13.634,11.5,
Newtown (NSW),2012-08-17 02:00:00 +1000,0.0,12.92,11.8,
Newtown (NSW),2012-08-17 03:00:00 +1000,0.0,12.973,12.0,
Newtown (NSW),2012-08-17 04:00:00 +1000,0.0,12.899,11.8,
Newtown (NSW),2012-08-17 05:00:00 +1000,0.0,12.966,11.7,
Newtown (NSW),2012-08-17 06:00:00 +1000,0.0,12.59,12.2,
Newtown (NSW),2012-08-17 07:00:00 +1000,30.151,12.321,15.8,0.02
Newtown (NSW),2012-08-17 08:00:00 +1000,166.487,13.024,15.9,0.45
Newtown (NSW),2012-08-17 09:00:00 +1000,505.324,14.812,17.0,0.96
Newtown (NSW),2012-08-17 10:00:00 +1000,653.171,16.971,18.4,1.47
Newtown (NSW),2012-08-17 11:00:00 +1000,837.632,17.883,20.2,3.64
Newtown (NSW),2012-08-17 12:00:00 +1000,851.743,19.34,21.5,3.81
