Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Newtown (NSW),2015-11-24 23:00:00 +1000,0.0,24.81,20.4,
Newtown (NSW),2015-11-25 00:00:00 +1000,0.0,21.12,20.1,
Newtown (NSW),2015-11-25 01:00:00 +1000,0.0,21.11,19.9,
Newtown (NSW),2015-11-25 02:00:00 +1000,0.0,20.93,19.3,
Newtown (NSW),2015-11-25 03:00:00 +1000,0.0,20.95,18.3,
Newtown (NSW),2015-11-25 04:00:00 +1000,0.0,20.84,17.9,
Newtown (NSW),2015-11-25 05:00:00 +1000,0.63,20.47,17.6,0.0
Newtown (NSW),2015-11-25 06:00:00 +1000,23.11,20.39,17.8,0.043
Newtown (NSW),2015-11-25 07:00:00 +1000,67.01,20.53,20.7,0.383
Newtown (NSW),2015-11-25 08:00:00 +1000,269.88,21.28,22.4,1.443
Newtown (NSW),2015-11-25 09:00:00 +1000,512.86,22.99,25.4,2.5
Newtown (NSW),2015-11-25 10:00:00 +1000,718.3,25.04,25.8,3.271
Newtown (NSW),2015-11-25 11:00:00 +1000,850.16,27.04,25.9,3.727
Newtown (NSW),2015-11-25 12:00:00 +1000,917.97,27.14,25.7,3.991
Newtown (NSW),2015-11-25 13:00:00 +1000,934.67,26.51,26.8,4.079
Newtown (NSW),2015-11-25 14:00:00 +1000,884.6,26.1,28.7,3.941
Newtown (NSW),2015-11-25 15:00:00 +1000,757.61,26.39,27.1,3.267
Newtown (NSW),2015-11-25 16:00:00 +1000,565.14,25.8,27.3,2.444
Newtown (NSW),2015-11-25 17:00:00 +1000,327.2,25.67,26.2,1.713
Newtown (NSW),2015-11-25 18:00:00 +1000,111.77,25.73,26.3,0.593
Newtown (NSW),2015-11-25 19:00:00 +1000,20.7,25.89,26.0,0.046
Newtown (NSW),2015-11-25 20:00:00 +1000,0.2,26.0,26.2,0.0
Newtown (NSW),2015-11-25 21:00:00 +1000,0.0,26.22,25.9,
Newtown (NSW),2015-11-25 22:00:00 +1000,0.0,25.67,24.8,
Newtown (NSW),2015-11-25 23:00:00 +1000,0.0,21.51,24.2,
Newtown (NSW),2015-11-26 00:00:00 +1000,0.0,24.35,24.1,
Newtown (NSW),2015-11-26 01:00:00 +1000,0.0,24.45,26.0,
Newtown (NSW),2015-11-26 02:00:00 +1000,0.0,24.33,25.7,
Newtown (NSW),2015-11-26 03:00:00 +1000,0.0,24.46,26.5,
Newtown (NSW),2015-11-26 04:00:00 +1000,0.0,25.18,27.5,
Newtown (NSW),2015-11-26 05:00:00 +1000,0.61,26.09,27.7,0.0
Newtown (NSW),2015-11-26 06:00:00 +1000,26.1,26.35,28.0,0.061
Newtown (NSW),2015-11-26 07:00:00 +1000,72.38,27.19,30.2,0.361
Newtown (NSW),2015-11-26 08:00:00 +1000,256.16,28.71,32.4,1.322
