Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Sutherland (NSW),2014-04-01 00:00:00 +1000,0.0,18.275,17.0,
Sutherland (NSW),2014-04-01 01:00:00 +1000,0.0,17.808,16.4,
Sutherland (NSW),2014-04-01 02:00:00 +1000,0.0,17.393,16.2,
Sutherland (NSW),2014-04-01 03:00:00 +1000,0.0,17.237,15.2,
Sutherland (NSW),2014-04-01 04:00:00 +1000,0.0,17.138,15.5,
Sutherland (NSW),2014-04-01 05:00:00 +1000,0.0,17.179,15.5,
Sutherland (NSW),2014-04-01 06:00:00 +1000,40.791,16.852,14.6,0.089
Sutherland (NSW),2014-04-01 07:00:00 +1000,180.459,17.311,15.0,0.947
Sutherland (NSW),2014-04-01 08:00:00 +1000,352.523,18.899,17.5,1.735
Sutherland (NSW),2014-04-01 09:00:00 +1000,629.013,21.189,20.8,3.111
Sutherland (NSW),2014-04-01 10:00:00 +1000,450.375,22.518,22.6,2.219
Sutherland (NSW),2014-04-01 11:00:00 +1000,549.73,23.427,23.5,2.703
Sutherland (NSW),2014-04-01 12:00:00 +1000,884.691,24.733,24.5,3.174
Sutherland (NSW),2014-04-01 13:00:00 +1000,483.151,25.579,25.9,2.371
Sutherland (NSW),2014-04-01 14:00:00 +1000,254.902,25.288,26.1,1.242
Sutherland (NSW),2014-04-01 15:00:00 +1000,187.941,24.184,26.6,0.91
Sutherland (NSW),2014-04-01 16:00:00 +1000,99.556,23.428,25.4,0.454
Sutherland (NSW),2014-04-01 17:00:00 +1000,13.961,22.629,24.2,0.028
Sutherland (NSW),2014-04-01 18:00:00 +1000,0.0,21.721,22.9,0.0
Sutherland (NSW),2014-04-01 19:00:00 +1000,0.0,20.809,21.8,
Sutherland (NSW),2014-04-01 20:00:00 +1000,0.0,20.291,20.6,
Sutherland (NSW),2014-04-01 21:00:00 +1000,0.0,19.823,20.1,
Sutherland (NSW),2014-04-01 22:00:00 +1000,0.0,19.365,19.3,
Sutherland (NSW),2014-04-02 00:00:00 +1000,0.0,18.572,17.5,
Sutherland (NSW),2014-04-02 01:00:00 +1000,0.0,18.363,17.3,
Sutherland (NSW),2014-04-02 02:00:00 +1000,0.0,18.277,16.8,
Sutherland (NSW),2014-04-02 03:00:00 +1000,0.0,18.166,16.4,
Sutherland (NSW),2014-04-02 04:00:00 +1000,0.0,18.117,16.0,
Sutherland (NSW),2014-04-02 05:00:00 +1000,0.0,17.878,15.4,
Sutherland (NSW),2014-04-02 06:00:00 +1000,41.961,17.864,15.1,0.078
Sutherland (NSW),2014-04-02 07:00:00 +1000,288.649,18.532,16.0,0.987
Sutherland (NSW),2014-04-02 08:00:00 +1000,519.572,19.163,18.1,2.575
Sutherland (NSW),2014-04-02 09:00:00 +1000,697.908,21.143,19.9,3.345
Sutherland (NSW),2014-04-02 10:00:00 +1000,808.921,22.827,22.7,3.834
Sutherland (NSW),2014-04-02 11:00:00 +1000,815.702,24.097,23.8,3.853
Sutherland (NSW),2014-04-02 12:00:00 +1000,816.172,25.271,25.7,3.84
Sutherland (NSW),2014-04-02 13:00:00 +1000,735.907,25.483,26.5,3.633
Sutherland (NSW),2014-04-02 14:00:00 +1000,586.645,24.961,27.4,3.115
Sutherland (NSW),2014-04-02 15:00:00 +1000,367.0,23.915,27.6,1.885
Sutherland (NSW),2014-04-02 16:00:00 +1000,120.733,23.014,25.9,0.658
Sutherland (NSW),2014-04-02 17:00:00 +1000,41.008,22.229,24.8,0.004
Sutherland (NSW),2014-04-02 18:00:00 +1000,0.356,21.241,22.6,0.0
Sutherland (NSW),2014-04-02 19:00:00 +1000,0.0,20.796,21.5,
Sutherland (NSW),2014-04-02 20:00:00 +1000,0.0,20.323,20.9,
Sutherland (NSW),2014-04-02 21:00:00 +1000,0.0,19.932,20.6,
Sutherland (NSW),2014-04-02 22:00:00 +1000,0.0,19.938,19.3,
Sutherland (NSW),2014-04-03 00:00:00 +1000,0.0,19.4,19.0,
Sutherland (NSW),2014-04-03 01:00:00 +1000,0.0,19.084,18.5,
Sutherland (NSW),2014-04-03 02:00:00 +1000,0.0,18.769,17.8,
Sutherland (NSW),2014-04-03 03:00:00 +1000,0.0,18.644,17.7,
Sutherland (NSW),2014-04-03 04:00:00 +1000,0.0,18.447,16.7,
Sutherland (NSW),2014-04-03 05:00:00 +1000,0.0,18.055,16.2,
Sutherland (NSW),2014-04-03 06:00:00 +1000,35.412,17.807,15.5,0.077
Sutherland (NSW),2014-04-03 07:00:00 +1000,261.855,18.213,16.9,1.364
Sutherland (NSW),2014-04-03 08:00:00 +1000,502.987,19.181,0.0,2.477
Sutherland (NSW),2014-04-03 09:00:00 +1000,679.157,21.099,22.2,3.225
Sutherland (NSW),2014-04-03 10:00:00 +1000,779.711,23.636,24.3,3.639
Sutherland (NSW),2014-04-03 11:00:00 +1000,821.738,25.407,26.2,3.827
Sutherland (NSW),2014-04-03 12:00:00 +1000,773.113,25.978,27.3,3.58
Sutherland (NSW),2014-04-03 13:00:00 +1000,484.632,25.87,28.8,2.29
Sutherland (NSW),2014-04-03 14:00:00 +1000,330.428,25.296,28.5,1.587
Sutherland (NSW),2014-04-03 15:00:00 +1000,197.403,24.437,27.2,0.882
Sutherland (NSW),2014-04-03 16:00:00 +1000,84.908,23.853,26.5,0.368
Sutherland (NSW),2014-04-03 17:00:00 +1000,8.307,23.158,25.6,0.006
Sutherland (NSW),2014-04-03 18:00:00 +1000,0.0,22.379,24.0,0.0
Sutherland (NSW),2014-04-03 19:00:00 +1000,0.0,22.173,22.9,
Sutherland (NSW),2014-04-03 20:00:00 +1000,0.0,22.069,23.5,
Sutherland (NSW),2014-04-03 21:00:00 +1000,0.0,20.888,21.8,
Sutherland (NSW),2014-04-03 22:00:00 +1000,0.0,20.816,21.1,
Sutherland (NSW),2014-04-04 00:00:00 +1000,0.0,19.717,20.6,
Sutherland (NSW),2014-04-04 01:00:00 +1000,0.0,19.192,20.1,
Sutherland (NSW),2014-04-04 02:00:00 +1000,0.0,19.086,19.9,
Sutherland (NSW),2014-04-04 03:00:00 +1000,0.0,19.148,19.9,
Sutherland (NSW),2014-04-04 04:00:00 +1000,0.0,19.217,19.8,
Sutherland (NSW),2014-04-04 05:00:00 +1000,0.0,18.912,19.3,
Sutherland (NSW),2014-04-04 06:00:00 +1000,3.371,18.665,19.1,0.016
Sutherland (NSW),2014-04-04 07:00:00 +1000,74.738,18.542,18.8,0.312
Sutherland (NSW),2014-04-04 08:00:00 +1000,89.993,19.069,19.1,0.376
Sutherland (NSW),2014-04-04 09:00:00 +1000,333.009,19.726,20.1,1.558
Sutherland (NSW),2014-04-04 10:00:00 +1000,197.584,20.764,21.0,1.074
Sutherland (NSW),2014-04-04 11:00:00 +1000,85.201,20.817,21.3,0.343
Sutherland (NSW),2014-04-04 12:00:00 +1000,115.913,20.388,21.5,0.49
Sutherland (NSW),2014-04-04 13:00:00 +1000,14.523,19.711,21.5,0.115
Sutherland (NSW),2014-04-04 14:00:00 +1000,15.079,18.778,19.3,0.022
Sutherland (NSW),2014-04-04 15:00:00 +1000,47.5,18.345,18.7,0.166
Sutherland (NSW),2014-04-04 16:00:00 +1000,38.793,18.394,18.9,0.133
Sutherland (NSW),2014-04-04 17:00:00 +1000,1.669,18.868,18.7,0.0
Sutherland (NSW),2014-04-04 18:00:00 +1000,0.0,18.957,18.8,
Sutherland (NSW),2014-04-04 19:00:00 +1000,0.0,18.823,18.8,
Sutherland (NSW),2014-04-04 20:00:00 +1000,0.0,18.729,18.7,
Sutherland (NSW),2014-04-04 21:00:00 +1000,0.0,18.669,18.7,
Sutherland (NSW),2014-04-04 22:00:00 +1000,0.0,18.65,18.6,
Sutherland (NSW),2014-04-05 00:00:00 +1000,0.0,18.265,18.2,
Sutherland (NSW),2014-04-05 01:00:00 +1000,0.0,18.059,17.7,
Sutherland (NSW),2014-04-05 02:00:00 +1000,0.0,17.812,17.1,
Sutherland (NSW),2014-04-05 03:00:00 +1000,0.0,17.659,16.9,
Sutherland (NSW),2014-04-05 04:00:00 +1000,0.0,17.378,16.7,
Sutherland (NSW),2014-04-05 05:00:00 +1000,0.0,17.179,16.5,
Sutherland (NSW),2014-04-05 06:00:00 +1000,19.464,17.707,16.6,0.02
Sutherland (NSW),2014-04-05 07:00:00 +1000,136.253,18.378,17.3,0.637
Sutherland (NSW),2014-04-05 08:00:00 +1000,535.834,19.105,18.4,2.61
Sutherland (NSW),2014-04-05 09:00:00 +1000,331.06,20.502,21.1,1.596
Sutherland (NSW),2014-04-05 10:00:00 +1000,387.333,21.627,22.2,0.847
Sutherland (NSW),2014-04-05 11:00:00 +1000,255.252,22.769,22.6,1.231
Sutherland (NSW),2014-04-05 12:00:00 +1000,830.815,22.245,23.5,0.443
Sutherland (NSW),2014-04-05 13:00:00 +1000,340.55,22.146,25.3,1.584
Sutherland (NSW),2014-04-05 14:00:00 +1000,569.636,21.788,23.7,2.792
Sutherland (NSW),2014-04-05 15:00:00 +1000,396.973,21.566,23.4,2.044
Sutherland (NSW),2014-04-05 16:00:00 +1000,93.607,20.654,22.1,0.249
Sutherland (NSW),2014-04-05 17:00:00 +1000,30.972,19.987,21.6,0.126
Sutherland (NSW),2014-04-05 18:00:00 +1000,0.0,19.491,20.0,0.0
Sutherland (NSW),2014-04-05 19:00:00 +1000,0.0,19.313,19.7,
Sutherland (NSW),2014-04-05 20:00:00 +1000,0.0,19.151,19.5,
Sutherland (NSW),2014-04-05 21:00:00 +1000,0.0,19.003,18.9,
